,Date,State,District,Active,Population_2020,Batch_no
390,2021-01-14,Punjab,Rupnagar,110,780475,2
391,2021-01-14,Punjab,Sangrur,26,1886893,2
392,2021-01-14,Punjab,Shahid Bhagat Singh Nagar,108,698033,2
393,2021-01-14,Punjab,Tarn Taran,17,1276375,2
394,2021-01-14,Puducherry,Puducherry,172,1397707,1
395,2021-01-14,Rajasthan,Ajmer,279,2944679,2
396,2021-01-14,Rajasthan,Alwar,151,4188564,2
397,2021-01-14,Rajasthan,Banswara,78,2049133,2
398,2021-01-14,Rajasthan,Baran,69,1393941,2
399,2021-01-14,Rajasthan,Barmer,100,2968276,2
400,2021-01-14,Rajasthan,Bharatpur,24,2905247,2
401,2021-01-14,Rajasthan,Bhilwara,302,2745716,2
402,2021-01-14,Rajasthan,Bikaner,30,2694888,2
403,2021-01-14,Rajasthan,Bundi,180,1266433,2
404,2021-01-14,Rajasthan,Chittorgarh,109,1760545,2
405,2021-01-14,Rajasthan,Churu,15,2325084,2
406,2021-01-14,Rajasthan,Dausa,79,1863226,2
407,2021-01-14,Rajasthan,Dholpur,21,1375428,2
408,2021-01-14,Rajasthan,Dungarpur,187,1582949,2
409,2021-01-14,Rajasthan,Ganganagar,114,2244852,2
410,2021-01-14,Rajasthan,Hanumangarh,75,2023149,2
411,2021-01-14,Rajasthan,Jaipur,1145,7553843,1
412,2021-01-14,Rajasthan,Jaisalmer,93,763708,2
413,2021-01-14,Rajasthan,Jalore,59,2084752,2
414,2021-01-14,Rajasthan,Jhalawar,142,1608687,2
415,2021-01-14,Rajasthan,Jhunjhunu,43,2436231,2
416,2021-01-14,Rajasthan,Jodhpur,437,4203368,2
417,2021-01-14,Rajasthan,Karauli,36,1662403,2
418,2021-01-14,Rajasthan,Kota,524,2224156,2
419,2021-01-14,Rajasthan,Nagaur,330,3770827,2
420,2021-01-14,Rajasthan,Pali,101,2322833,2
421,2021-01-14,Rajasthan,Pratapgarh,76,989347,2
422,2021-01-14,Rajasthan,Rajsamand,203,1318521,2
423,2021-01-14,Rajasthan,Sawai Madhopur,27,1522528,2
424,2021-01-14,Rajasthan,Sikar,107,3052160,2
425,2021-01-14,Rajasthan,Sirohi,107,1181434,2
426,2021-01-14,Rajasthan,Tonk,23,1620312,2
427,2021-01-14,Rajasthan,Udaipur,409,3497999,2
428,2021-01-14,Sikkim,Sikkim,257,671720,1
429,2021-01-14,Telangana,Telangana,4495,38472769,1
430,2021-01-14,Tamil Nadu,Ariyalur,17,860579,2
431,2021-01-14,Tamil Nadu,Chennai,2011,5297274,1
432,2021-01-14,Tamil Nadu,Coimbatore,645,3942171,2
433,2021-01-14,Tamil Nadu,Cuddalore,80,2970742,2
434,2021-01-14,Tamil Nadu,Dharmapuri,66,1717801,2
435,2021-01-14,Tamil Nadu,Dindigul,77,2462144,2
436,2021-01-14,Tamil Nadu,Erode,177,2566988,2
437,2021-01-14,Tamil Nadu,Kancheepuram,169,4558007,2
438,2021-01-14,Tamil Nadu,Kanyakumari,176,2132226,2
439,2021-01-14,Tamil Nadu,Karur,71,1213522,2
440,2021-01-14,Tamil Nadu,Krishnagiri,77,2142982,2
441,2021-01-14,Tamil Nadu,Madurai,149,3463607,2
442,2021-01-14,Tamil Nadu,Nagapattinam,79,1842753,2
443,2021-01-14,Tamil Nadu,Namakkal,140,1968325,2
444,2021-01-14,Tamil Nadu,Nilgiris,83,838349,2
445,2021-01-14,Tamil Nadu,Perambalur,0,644354,2
446,2021-01-14,Tamil Nadu,Pudukkottai,53,1844913,2
447,2021-01-14,Tamil Nadu,Ramanathapuram,28,1542927,2
448,2021-01-14,Tamil Nadu,Salem,307,3969544,2
449,2021-01-14,Tamil Nadu,Sivaganga,45,1526575,2
450,2021-01-14,Tamil Nadu,Thanjavur,163,2742715,2
451,2021-01-14,Tamil Nadu,Theni,50,1420325,2
452,2021-01-14,Tamil Nadu,Thiruvallur,289,4250039,2
453,2021-01-14,Tamil Nadu,Thiruvarur,67,1441276,2
454,2021-01-14,Tamil Nadu,Thoothukkudi,68,1995201,2
455,2021-01-14,Tamil Nadu,Tiruchirappalli,167,3103411,2
