State,District,Population_2020
Punjab,Bathinda,1582919
Punjab,Mansa,877516
Punjab,Patiala,2161082
Punjab,Amritsar,2839348
Punjab,Tarn Taran,1276375
Punjab,Rupnagar,780475
Punjab,S.A.S Nagar,1133876
Punjab,Sangrur,1886893
Punjab,Barnala,678901
Rajasthan,Ganganagar,2244852
Rajasthan,Hanumangarh,2023149
Rajasthan,Bikaner,2694888
Rajasthan,Churu,2325084
Rajasthan,Jhunjhunu,2436231
Rajasthan,Alwar,4188564
Rajasthan,Bharatpur,2905247
Rajasthan,Dholpur,1375428
Rajasthan,Karauli,1662403
Rajasthan,Sawai Madhopur,1522528
Rajasthan,Dausa,1863226
Rajasthan,Jaipur,7553843
Rajasthan,Sikar,3052160
Rajasthan,Nagaur,3770827
Rajasthan,Jodhpur,4203368
Rajasthan,Jaisalmer,763708
Rajasthan,Barmer,2968276
Rajasthan,Jalore,2084752
Rajasthan,Sirohi,1181434
Rajasthan,Pali,2322833
Rajasthan,Ajmer,2944679
Rajasthan,Tonk,1620312
Rajasthan,Bundi,1266433
Rajasthan,Bhilwara,2745716
Rajasthan,Rajsamand,1318521
Rajasthan,Dungarpur,1582949
Rajasthan,Banswara,2049133
Rajasthan,Chittorgarh,1760545
Rajasthan,Kota,2224156
Rajasthan,Baran,1393941
Rajasthan,Jhalawar,1608687
Rajasthan,Udaipur,3497999
Rajasthan,Pratapgarh,989347
Sikkim,Sikkim,671720
Tamil Nadu,Thiruvallur,4250039
Tamil Nadu,Chennai,5297274
Tamil Nadu,Kancheepuram,4558007
Tamil Nadu,Vellore,4487417
Tamil Nadu,Tiruvannamalai,2809958
Tamil Nadu,Viluppuram,3943115
Tamil Nadu,Salem,3969544
Tamil Nadu,Namakkal,1968325
Tamil Nadu,Erode,2566988
Tamil Nadu,Nilgiris,838349
Tamil Nadu,Dindigul,2462144
Tamil Nadu,Karur,1213522
Tamil Nadu,Tiruchirappalli,3103411
Tamil Nadu,Perambalur,644354
Tamil Nadu,Ariyalur,860579
Tamil Nadu,Cuddalore,2970742
Tamil Nadu,Nagapattinam,1842753
Tamil Nadu,Thiruvarur,1441276
Tamil Nadu,Thanjavur,2742715
Tamil Nadu,Pudukkottai,1844913
Tamil Nadu,Sivaganga,1526575
Tamil Nadu,Madurai,3463607
Tamil Nadu,Theni,1420325
Tamil Nadu,Virudhunagar,2214208
Tamil Nadu,Ramanathapuram,1542927
Tamil Nadu,Thoothukkudi,1995201
Tamil Nadu,Tirunelveli,3508046
Tamil Nadu,Kanyakumari,2132226
Tamil Nadu,Dharmapuri,1717801
Tamil Nadu,Krishnagiri,2142982
Tamil Nadu,Coimbatore,3942171
Tamil Nadu,Tiruppur,2826119
Telangana,Telangana,38472769
Tripura,West Tripura,1045989
Tripura,South Tripura,494460
Tripura,Dhalai,430906
Tripura,North Tripura,474178
Tripura,Unokoti,316162
Tripura,Khowai,373226
Tripura,Sipahijala,552026
Tripura,Gomati,498030
Uttar Pradesh,Saharanpur,3951675
Uttar Pradesh,Muzaffarnagar,4723604
Uttar Pradesh,Bijnor,4198293
Uttar Pradesh,Moradabad,5440087
Uttar Pradesh,Rampur,2662834
Uttar Pradesh,Amroha,2097852
Uttar Pradesh,Meerut,3925805
Uttar Pradesh,Baghpat,1485475
Uttar Pradesh,Ghaziabad,5337075
Uttar Pradesh,Gautam Buddha Nagar,1878851
Uttar Pradesh,Bulandshahr,3989055
Uttar Pradesh,Aligarh,4188233
Uttar Pradesh,Mahamaya Nagar,1783767
Uttar Pradesh,Mathura,2903790
Uttar Pradesh,Agra,5037429
Uttar Pradesh,Firozabad,2847898
Uttar Pradesh,Mainpuri,2130123
Uttar Pradesh,Budaun,4197361
Uttar Pradesh,Bareilly,5071129
Uttar Pradesh,Pilibhit,2315348
Uttar Pradesh,Shahjahanpur,3427453
Uttar Pradesh,Lakhimpur Kheri,4584217
Uttar Pradesh,Sitapur,5111751
Uttar Pradesh,Hardoi,4665843
Uttar Pradesh,Unnao,3543538
Uttar Pradesh,Lucknow,5232415
Uttar Pradesh,Rae Bareli,3882337
Uttar Pradesh,Farrukhabad,2149133
Uttar Pradesh,Kannauj,1888542
Uttar Pradesh,Etawah,1803263
Uttar Pradesh,Auraiya,1572681
Uttar Pradesh,Kanpur Dehat,2047650
Uttar Pradesh,Kanpur Nagar,5222646
Uttar Pradesh,Jalaun,1926570
Uttar Pradesh,Jhansi,2278407
Uttar Pradesh,Lalitpur,1392615
Uttar Pradesh,Hamirpur,1258885
Uttar Pradesh,Mahoba,998592
Uttar Pradesh,Banda,2051327
Uttar Pradesh,Chitrakoot,1130572
Uttar Pradesh,Fatehpur,3001316
Uttar Pradesh,Pratapgarh,3658421
Uttar Pradesh,Kaushambi,1823539
Uttar Pradesh,Allahabad,6788006
Uttar Pradesh,Barabanki,3717197
Uttar Pradesh,Faizabad,2816935
Uttar Pradesh,Ambedkar Nagar,2733592
Uttar Pradesh,Sultanpur,4328713
Uttar Pradesh,Bahraich,3976013
Uttar Pradesh,Shrawasti,1273792
Uttar Pradesh,Balrampur,2449478
Uttar Pradesh,Gonda,3914668
Uttar Pradesh,Siddharthnagar,2917599
Uttar Pradesh,Basti,2809489
Uttar Pradesh,Sant Kabir Nagar,1955309
Uttar Pradesh,Maharajganj,3060561
Uttar Pradesh,Gorakhpur,5062620
Uttar Pradesh,Kushinagar,4063580
Uttar Pradesh,Deoria,3535078
Uttar Pradesh,Azamgarh,5259861
Uttar Pradesh,Mau,2514804
Uttar Pradesh,Ballia,3693342
Uttar Pradesh,Jaunpur,5123393
Uttar Pradesh,Ghazipur,4127106
Uttar Pradesh,Chandauli,2226142
Uttar Pradesh,Varanasi,4191599
Uttar Pradesh,Bhadohi,1799163
Uttar Pradesh,Mirzapur,2846546
Uttar Pradesh,Sonbhadra,2123317
